race_id,jurisdiction,position,ocdid,div_id,race_name,description,district,number,notes
11,east-ridge,mayor,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-mayor,East Ridge Mayor,The East Ridge mayor presides over City Council meetings and represents the city for ceremonial purposes. The winner of the citywide election will serve a four-year term.,,,At large
12,east-ridge,council,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-council-member,East Ridge City Council,Two positions on the East Ridge City Council are up for election. (Seven candidates) are running in the race to represent the entire city on the council. The two candidates with the most votes in November will serve four-year terms.,,2,At large
13,lakesite,commission,ocd-division/country:us/state:tn/place:lakesite,lakesite-commissioner,Lakesite City Commission,Three positions on the Lakesite City Commission are up for election. (Four candidates) are running in the race to represent the entire city on the commission. The three candidates with the most votes in November will serve four-year terms.,,3,At large
14,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-atlarge,"Red Bank City Commission, At Large",,at-large,,
15,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-district-1,"Red Bank City Commission, 1st District",,1,,
16,red-bank,commission,ocd-division/country:us/state:tn/place:red_bank,red-bank-commissioner-district-3,"Red Bank City Commission, 3rd District",,3,,Special election to fill vacancy of Kenneth Welch
17,ridgeside,commission,ocd-division/country:us/state:tn/place:ridgeside,ridgeside-commissioner,Ridgeside City Commission,,,3,At large
18,signal-mountain,council,ocd-division/country:us/state:tn/place:signal_mountain,signal-mountain-council,Signal Mountain Town Council,,,3,At large
19,soddy-daisy,commission,ocd-division/country:us/state:tn/place:soddy-daisy,soddy-daisy-commissioner,Soddy-Daisy City Commission,,,2,At large
20,walden,mayor,ocd-division/country:us/state:tn/place:walden,walden-mayor,Walden Mayor,,,,
21,walden,alderman,ocd-division/country:us/state:tn/place:walden,walden-alderman,Walden Alderman,,,2,At large
22,state,ballot-measure,ocd-division/country:us/state:tn,tennessee-amendments,Tennessee Constitutional Amendments,,,4,
23,chattanooga,ballot-measure,ocd-division/country:us/state:tn/place:chattanooga,chattanooga-ballot-measures,Chattanooga Ballot Measures,,,,?WIG
24,collegedale,ballot-measure,ocd-division/country:us/state:tn/place:collegedale,collegedale-ballot-measures,Collegedale Ballot Measures,,,,?WIG
25,east-ridge,ballot-measure,ocd-division/country:us/state:tn/place:east_ridge,east-ridge-ballot-measures,East Ridge Ballot Measures,,,,"WIG, 4 charter amendments"
26,lakesite,ballot-measure,ocd-division/country:us/state:tn/place:lakesite,lakesite-ballot-measures,Lakesite Ballot Measures,,,,WIG
27,lookout-mountain,ballot-measure,ocd-division/country:us/state:tn/place:lookout_mountain,lookout-mountain-ballot-measures,Lookout Mountain Ballot Measures,,,,?WIG
28,red-bank,ballot-measure,ocd-division/country:us/state:tn/place:red_bank,red-bank-ballot-measures,Red Bank Ballot Measures,,,,WIG
29,signal-mountain,ballot-measure,ocd-division/country:us/state:tn/place:signal_mountain,signal-mountain-ballot-measures,Signal Mountain Ballot Measures,,,,WIG
30,soddy-daisy,ballot-measure,ocd-division/country:us/state:tn/place:soddy-daisy,soddy-daisy-ballot-measures,Soddy-Daisy Ballot Measures,,,,"?WIG, package stores"
31,walden,ballot-measure,ocd-division/country:us/state:tn/place:walden,walden-ballot-measures,Walden Ballot Measures,,,,?WIG
32,hamilton-county,,,unincorporated-hamilton-county-ballot-measures,Hamilton County Ballot Measures,,,,?WIG – Will have to figure out how to represent
